Target	value	Drug	Chemical	miRNA	total_drugs	total_chems	total_miRNAs	degree	closeness	betweenness
ALDOA	-0.3017157	ARTENIMOL	NA	hsa-mir-122-5p	1	NA	1	31	1.22958436342308	1.68225482485999
APAF1	0.3915305	NA	NA	hsa-mir-23a-3p, hsa-mir-221-3p, hsa-mir-155-5p, hsa-mir-21-5p	NA	NA	4	5	-0.417273272207577	-0.343009767312441
APC	-0.3916878	NA	NA	hsa-mir-106b-5p, hsa-mir-135b-5p, hsa-mir-142-3p, hsa-mir-135a-5p, hsa-mir-663a, hsa-mir-155-5p, hsa-mir-27a-3p, hsa-mir-129-5p	NA	NA	8	13	-0.334049229162154	-0.126590953041984
ATF4	0.4967678	NA	NA	hsa-mir-214-3p	NA	NA	1	3	-0.394278374491086	-0.364100790767638
ATP13A2	-0.4439245	NA	Cyperquat, 1 Methyl 4 phenylpyridinium, Deoxyephedrine, Reactive Oxygen Species, Metamfetamine, Methylamphetamine, Copper, Madrine, Desoxyephedrine, Gramoxone, 1-Methyl-4-phenylpyridinium, Rotenone, Lead, Methamphetamine, Paraquat, Desoxyn, Active Oxygen, Manganese	NA	NA	18	NA	4	0.125452691030996	-0.354331398659929
ATP1A1	-0.4463091	ACETYLDIGITOXIN, DIGOXIN, DIAZOXIDE, DESLANOSIDE, DIGITOXIN	NA	NA	5	NA	NA	2	0.268319792265827	-0.298926759967294
ATP1B1	-0.4070072	NA	NA	hsa-mir-192-5p	NA	NA	1	7	-0.1419274845416	-0.209514707794725
ATP2A2	-0.3730662	NA	NA	hsa-mir-25-3p	NA	NA	1	18	1.20357561105382	0.535011906951227
ATP5B	-0.5889995	NA	NA	hsa-mir-101-3p	NA	NA	1	4	-0.865265178090523	-0.251532088834218
ATP6V1B2	-0.5903672	GALLIUM NITRATE	NA	hsa-mir-1-3p	1	NA	1	9	-1.63039121182682	0.136946076206863
BCL2	0.3951027	PACLITAXELVITOCLAX, OBATOCLAX MESYLATE, IBUPROFEN, DOCETAXEL, VENETOCLAX	NA	hsa-mir-16-5p, hsa-mir-17-5p, hsa-mir-148a-3p, hsa-mir-15a-5p, hsa-mir-184, hsa-mir-143-3p, hsa-mir-451a, hsa-mir-365a-3p, hsa-mir-34a-5p, hsa-mir-200b-3p, hsa-mir-29c-3p, hsa-mir-126-3p, hsa-mir-494-3p, hsa-mir-125b-5p, hsa-mir-429, hsa-mir-200c-3p, hsa-mir-224-5p, hsa-mir-135a-5p, hsa-mir-21-5p, hsa-mir-18a-5p, hsa-mir-182-5p, hsa-mir-497-5p, hsa-mir-503-5p, hsa-mir-24-2-5p, hsa-mir-34b-5p, hsa-mir-181a-5p, hsa-mir-20a-5p, hsa-mir-205-5p, hsa-mir-34b-3p, hsa-mir-15b-5p, hsa-mir-449a, hsa-mir-181d-5p, hsa-mir-204-5p, hsa-mir-33b-5p, hsa-mir-1915-3p, hsa-mir-192-5p, hsa-mir-181c-5p, hsa-mir-448, hsa-mir-29a-3p, hsa-mir-195-5p, hsa-mir-181b-5p, hsa-mir-630, hsa-mir-34c-5p, hsa-mir-29b-3p, hsa-mir-7-5p, hsa-mir-211-5p, hsa-mir-136-5p, hsa-mir-153-3p, hsa-mir-30b-5p, hsa-mir-708-5p	5	NA	50	8	-1.40220588347983	-0.291965308054836
BDNF	-0.3775114	CX717, COPPER, ESKETAMINE	Endantadine, Valium, PP557, 1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine, Estradiol, Synflex, Sibazon, Insecticides, Ovocyclin, Petylyl, 1 Methyl 4 phenylpyridinium, Lipoglycans, Scabisan, I 2190A, Oestradiol, I2190A, Amantadinneuraxpharm, FMC-33297, Apaurin, Amantadine, Hexachlorocyclohexane, CB 154, Dopamine, Nittifor, NRDC 147, Desmethylimipramine, Phenamine, AmantaHCIAZU, MPTP, Pertrofran, AmantaSulfateAZU, PP 557, Rotenone, Pertofrane, Parnate, Pertofran, Tranylcypromine, Rapamune, Metamfetamine, Rapamycin, Relanium, InfectoFlu, Amanta-Sulfate-AZU, Amantadin ratiopharm, Amantadin neuraxpharm, Methylamphetamine, Lithium, S3151, Lindane, Amantadin-neuraxpharm, Methoxypropiocin, Methamphetamine, Amixx, CB154, Quick-Pep, Zinc, Acrylaldehyde, S 3151, Amanta Sulfate AZU, Clozapine, Dexitac, 1-Methyl-4-phenylpyridinium, NRDC 143, Amanta-HCI-AZU, Gesamprim, Aqualin, Lead, Jacutin, Cyperquat, Acraldehyde, Sirolimus, Amantadin-ratiopharm, Trilene, Desoxynorephedrin, benserazide, levodopa drug combination, Infecto Flu, I-2190A, Aerodiol, Bromocriptine, Diazemuls, Ambush, Hydroxytyramine, Infecto-Flu, Phenopromin, FMC 33297, Kwell, Elimite, Trielina, Neotsidol, Demethylimipramine, Durvitan, Desoxyn, tregor, ICI 204,636, Fungicides, Industrial, Quetiapine Fumarate, Anaprox, Atrazine, Quick Pep, Caffedrine, Proxen, Thyramine, Jatrosom, Infex, S-3151, Maneb, ICI 204636, Cerebramed, levo-Amphetamine, Diazinon, Delitex, Dimpylate, Naprosin, Viregyt, Symadine, Wiregyt, Trichloroethylene, Transamine, Manganese, Desipramine, Melatonin, Deoxyephedrine, Desoxyephedrine, Levoamphetamine, NRDC147, Madrine, Norpramin, PMS-Amantadine, Symmetrel, Amfetamine, Stesolid, Vivarin, Vivelle, Acrolein, ICI204636, Neocidol, Parlodel, PMSAmantadine, NRDC-143, NIA-33297, CB-154, benserazide - levodopa, Centramina, Amphetamine, Particulate Matter, Diazepam, Eugenol, PP-557, Gen Amantadine, Faustan, Scabene, Adamantylamine, Scabecid, Mydrial, NRDC-147, Seroquel, Dursban, Trichloroethene, salsolinol, Aleve, Naproxen, Mantadix, Copper, Bromocryptin, Bazudine, Tetocid, Hexachlorane, FMC33297, Chlorpyrifos, Amantadinratiopharm, PMS Amantadine, GenAmantadine, Algicides, Midantan, Leponex, NIA33297, Gen-Amantadine, Lipopolysaccharides, QuickPep, Clozaril, ICI-204636, Algaecides, Herbicides, Nitric Oxide, Estrace, Permethrin, Seduxen, Quetiapine, Smoke, Lorsban, Naprosyn, Gammexane, Paraquat, Oxidopamine, NIA 33297, NRDC143, Amanta HCI AZU, levo Amphetamine, Caffeine, Intropin, Ozone, Adekin, Gramoxone, Bromocriptin	hsa-mir-210-3p, hsa-mir-204-5p, hsa-mir-132-3p, hsa-mir-124-3p, hsa-mir-16-5p, hsa-mir-30a-5p, hsa-mir-182-5p, hsa-mir-1-3p, hsa-mir-22-3p	3	210	9	10	-0.0473515323217077	0.0582769416443406
BECN1	-0.3505961	NA	NA	hsa-mir-216a-5p, hsa-mir-376b-3p, hsa-mir-199a-5p, hsa-mir-30d-5p, hsa-mir-30a-5p, hsa-mir-216b-5p, hsa-mir-30b-5p	NA	NA	7	4	-1.72953046146113	-0.373451327570838
BNIP3	-0.4619823	NA	NA	hsa-mir-210-3p, hsa-mir-145-5p, hsa-mir-221-3p	NA	NA	3	2	1.22068221165838	-0.373451327570838
BSN	-0.5459796	NA	NA	mmu-mir-153-3p	NA	NA	1	189	2.25854539779159	5.66998978827819
BTRC	-0.4123233	NA	NA	hsa-mir-497-5p, hsa-mir-183-5p, hsa-mir-10a-5p, hsa-mir-195-5p	NA	NA	4	3	0.0671542225000459	-0.361616776075964
C1QA	0.3068001	EFALIZUMABTALIZUMAB, ETANERCEPT	NA	NA	2	NA	NA	20	0.95596482282534	0.320674519065269
CACNA1D	-0.3316812	DILTIAZEM MALATE, CLEVIDIPINE, AMLODIPINE BESYLATE, VERAPAMIL HYDROCHLORIDE, DILTIAZEM HYDROCHLORIDE, AZD1305, AMLODIPINE MALEATE, NISOLDIPINE, CINRIZINE, ELPETRIGINE, NIMODIPINE, DRONEDARONE HYDROCHLORIDE, ETHANOL, NICARDIPINE HYDROCHLORIDE, ISRADIPINE, NIFEDIPINE, FELODIPINE	NA	NA	17	NA	NA	1	-0.848136984198615	-0.373451327570838
CACNA2D2	-0.5871348	GABAPENTIN, MIROGABALIN BESYLATE, FELODIPINE, ISRADIPINE, GABAPENTIN ECARBIL	NA	NA	5	NA	NA	6	0.485257999505601	-0.373451327570838
CACNB2	-0.3495161	NIMODIPINE, ISRADIPINE, NISOLDIPINE, FELODIPINE, NIFEDIPINE	NA	NA	5	NA	NA	4	-0.552516098550333	-0.308169698020008
CACNB3	-0.5989826	NIMODIPINE	NA	NA	1	NA	NA	6	-0.491011944737994	-0.246563711830243
CAMK2B	-0.4108176	FOSTAMATINIB	NA	NA	1	NA	NA	6	-0.491011944737994	-0.246563711830243
CAMK2G	-0.3717908	BOSUTINIB, FOSTAMATINIB	NA	hsa-mir-219a-5p	2	NA	1	8	0.307417572916872	-0.291964268479315
CASP1	0.2806993	NIVOCASAN, EMRICASAN	NA	NA	2	NA	NA	2	-0.756952639034303	-0.373244374927056
CASP4	0.375605	EMRICASAN	NA	NA	1	NA	NA	15	0.106210870436305	-0.373451327570838
CASP6	0.3369202	EMRICASAN	NA	NA	1	NA	NA	4	0.811640351731437	-0.299517109643463
CASP7	0.2622403	EMRICASAN	NA	hsa-mir-106b-5p, hsa-mir-106a-5p	1	NA	2	3	0.448579569001227	-0.373451327570838
CAT	0.2776001	FOMEPIZOLE	NA	hsa-mir-30b-5p	1	NA	1	5	0.952369879444487	-0.185770459045832
CCNB1	-0.2539248	NA	NA	hsa-mir-132-3p, hsa-mir-548b-3p, hsa-mir-212-3p	NA	NA	3	55	1.76190398026859	3.52370832276195
CCNE1	-0.3167839	NA	NA	hsa-mir-151a-3p, hsa-mir-195-5p, hsa-mir-103a-3p, hsa-mir-16-5p, hsa-mir-16-1-3p, hsa-mir-7-5p, hsa-mir-503-5p, hsa-mir-26b-5p, hsa-mir-497-5p, hsa-mir-15b-5p, hsa-mir-424-5p, hsa-mir-15a-5p, hsa-mir-26a-5p	NA	NA	13	2	0.359834773396266	-0.373451327570838
CD14	0.2772071	IC14	NA	NA	1	NA	NA	2	-0.300516181677543	-0.347354190125423
CD200	-0.4643783	SAMALIZUMAB	NA	NA	1	NA	NA	25	0.644684218002965	1.20274162017035
CD22	0.4477204	MONO-DGA-RFB4, EPRATUZUMAB, INOTUZUMAB OZOGAMICIN, BL22, IMMURAIT-LL2, YTTRIUM Y 90 EPRATUZUMAB TETRAXETAN, PITUZUMAB VEDOTIN, YTTRIUM Y 90 EPRATUZUMAB, MOXETUMOMAB PASUDOTOX, EPRATUZUMAB 90Y, BECTUMOMAB	NA	hsa-mir-19a-3p	11	NA	1	2	-0.742144996887608	-0.359650347283641
CDC42	-0.5826584	NA	NA	hsa-mir-133b, hsa-mir-330-3p, hsa-mir-133a-3p, hsa-mir-185-5p, hsa-mir-608, hsa-mir-204-5p, hsa-mir-195-5p, hsa-mir-137, hsa-mir-29b-3p, hsa-mir-224-5p, hsa-mir-29a-3p, hsa-mir-216a-5p, hsa-mir-29c-3p	NA	NA	13	2	-0.125289202559534	-0.313330530167594
CDK5	-0.5161968	RGB-286638, AT-7519, RONICICLIB, ALVOCIDIB, DICICLIB, PHA-793887, SELICICLIB, AZD-5438	NA	NA	8	NA	NA	9	0.511505832736171	-0.196354767235603
CDKN1A	0.4331967	NA	NA	hsa-mir-519e-3p, hsa-mir-106a-5p, hsa-mir-298, hsa-mir-20b-5p, hsa-mir-22-3p, hsa-mir-302a-3p, hsa-mir-654-3p, hsa-mir-572, hsa-mir-146a-5p, hsa-mir-520b, hsa-mir-182-5p, hsa-mir-519a-3p, hsa-mir-372-3p, hsa-mir-93-5p, hsa-mir-132-3p, hsa-mir-145-5p, hsa-mir-363-3p, hsa-mir-519d-3p, hsa-mir-520a-3p, hsa-mir-96-5p, hsa-mir-146b-5p, hsa-mir-519c-3p, hsa-mir-10b-5p, hsa-mir-639, hsa-mir-503-5p, hsa-mir-519b-3p, hsa-mir-520h, hsa-mir-17-5p, hsa-mir-125a-5p, hsa-mir-20a-5p, hsa-mir-299-5p, hsa-let-7a-5p, hsa-mir-208b-3p, hsa-mir-942-5p, hsa-mir-657, hsa-mir-423-3p, hsa-mir-208a-3p, hsa-mir-28-5p, hsa-mir-515-3p, hsa-mir-345-5p, hsa-mir-106b-5p	NA	NA	41	3	-0.00368177211686366	-0.313799405211464
CEBPB	0.3595167	NA	NA	hsa-mir-374a-5p, hsa-mir-191-5p, hsa-mir-155-5p, hsa-let-7c-5p, kshv-mir-k12-11-3p, hsa-mir-34a-5p	NA	NA	6	2	-0.179985117618062	-0.361616776075964
CFL1	-0.3511247	ARTENIMOL, LAURYL DIMETHYLAMINE-N-OXIDE, COPPER	NA	NA	3	NA	NA	1	-1.08192283683738	-0.373451327570838
CHMP2B	-0.4047759	NA	NA	hsa-mir-9-5p	NA	NA	1	25	0.77358173178895	0.131005018715344
CNR1	-0.255506	SURIBANT, CANBIDIOL, DROBINOL, IBIPIBANT, SAD448, NOBINE, AZD2207, RIMOBANT, DRIBANTBILONE, TARABANT, OTEBANT	NA	hsa-mir-494-3p	11	NA	1	2	0.0594817183045645	-0.372571436327641
COMT	0.3120813	ENTACAPONE, TOLCAPONE, NIALAMIDE	NA	NA	3	NA	NA	2	-0.357336312166386	-0.373451327570838
CP	0.3315656	NA	Rotenone, Apo-Gabapentin, Neocidol, Aqualin, Paclitaxel, Diethyldithiocarbamate, ApoGabapentin, Neurontin, Histerone, Dimpylate, Ro 40 7592, Testoderm, Imuthiol, NovoGabapentin, Estradiol, Praxel, NSC 125973, Acraldehyde, Novo-Gabapentin, Ro407592, Sustanon, Gabapentin, Bazudine, Andropatch, Convalis, Androderm, Novo Gabapentin, I-2190A, AndroGel, NSC-125973, Vivelle, Paxene, Copper, Testosterone, Ro 407592, Oestradiol, 1-Methyl-4-phenylpyridinium, Sirolimus, I2190A, SOM0226, Testopel, Apo Gabapentin, Cyperquat, Lipopolysaccharides, Particulate Matter, Diazinon, Nitrites, Taxol, Rapamycin, Algicides, Testolin, Ditiocarb, Anzatax, Sterotate, 1 Methyl 4 phenylpyridinium, Androtop, Atrazine, Smoke, Lead, I 2190A, Rapamune, Herbicides, Ro-40-7592, Water Pollutants, Chemical, Tasmar, Ro 40-7592, Zinc, Algaecides, Acrolein, Estrace, Testim, Neotsidol, Iron, Tolcapone, Aerodiol, Acrylaldehyde, NSC125973, Gesamprim, Onxol, Ovocyclin, Lipoglycans	NA	NA	82	NA	16	1.02666894678722	-0.102594405702145
CPT1A	-0.2957543	GLYBURIDE	NA	hsa-mir-370-3p	1	NA	1	3	-0.300933160650168	-0.313869575437527
CPT1B	0.4207702	PERHEXILINE MALEATE	NA	NA	1	NA	NA	17	0.635861165066569	0.292834092051901
CREBBP	0.4678994	NA	NA	hsa-mir-324-3p	NA	NA	1	5	-1.14023875064685	-0.314180416617828
CSNK1A1	-0.3798121	FOSTAMATINIB	NA	hsa-mir-155-5p	1	NA	1	2	-0.0577221038697476	-0.337565416444783
CSNK1E	0.4479026	SELICICLIB	NA	NA	1	NA	NA	5	0.7438174412883	-0.281620174312403
CSNK2A1	-0.427825	SILMITASERTIB, FOSTAMATINIB	NA	hsa-mir-760, hsa-mir-216b-5p, hsa-mir-186-5p, hsa-mir-337-3p, hsa-mir-125b-5p	2	NA	5	17	-0.305310802328613	-0.00447378600566355
CYCS	-0.4350071	ARTENIMOL	NA	NA	1	NA	NA	2	1.22159504116566	-0.369540859511625
DAPK1	-0.4651429	FOSTAMATINIB	NA	hsa-mir-107, hsa-mir-103a-3p	1	NA	2	4	0.245249587024362	-0.373451327570838
DAXX	0.3749174	NA	NA	hsa-mir-21-5p	NA	NA	1	2	-0.525803581649219	-0.361616776075964
DDC	-0.6010791	CARBIDOPA, BENSERAZIDE	Meldopa, Methyldopahydrazine, Trielina, S 3151, NRDC 143, Ovocyclin, Levoamphetamine, Seryltrihydroxybenzylhydrazine, Mydrial, NIA33297, MK485, Phenopromin, Dopaflex, NRDC 147, Trichloroethene, Cyperquat, S-3151, Copper, Methamphetamine, MK486, Aldomet, Benserazide, Dopegit, Nittifor, Hydopa, Estradiol, Ambush, Clozaril, Desoxynorephedrin, Androtop, benserazide, levodopa drug combination, Gramoxone, Ozone, Testim, levo Amphetamine, Desoxyn, Permethrin, Aerodiol, Atrazine, Testopel, Dopergit, Thyramine, Methyldopate, Sembrina, Deoxyephedrine, 1-Methyl-4-phenylpyridinium, NIA-33297, FMC33297, carbidopa - levodopa, Dopegyt, NRDC-143, 1 Methyl 4 phenylpyridinium, PP 557, Madrine, Oxidopamine, Carbidopa, Elimite, AndroGel, Testolin, Amfetamine, Levopa, PP-557, FMC-33297, Carbon Tetrachloride, Methyldopa, NRDC143, Serazide, Dopar, Estrace, Phenamine, Larodopa, PP557, Sustanon, Gesamprim, levo-Amphetamine, Levodopa, Lodosyn, carbidopa, levodopa drug combination, Leponex, MK 485, 2,4,5-Trichlorophenoxyacetic Acid, Desoxyephedrine, Homocysteine, Nitric Oxide, Paraquat, FMC 33297, MK-486, Testoderm, Trichloroethylene, Lodosin, Methylamphetamine, Histerone, Tetrachloromethane, Amphetamine, Seryltrihydroxy Benzylhydrazine, NIA 33297, benserazide - levodopa, Centramina, Clozapine, MK-485, Testosterone, Oestradiol, Vivelle, Metamfetamine, 2,4,5-T, S3151, Androderm, NRDC147, Trilene, MK 486, Sterotate, NRDC-147, Andropatch	hsa-mir-145-5p	2	119	1	1	-1.40921619955192	-0.373451327570838
DDIT4	0.5570774	NA	Water Pollutants, Chemical, AndroGel, Histerone, Lorsban, Dieldrin, Particulate Matter, Methylamphetamine, 1-Methyl-4-phenylpyridinium, Sustanon, Dimpylate, Lipopolysaccharides, Maneb, 1 Methyl 4 phenylpyridinium, Lipoglycans, Cyperquat, Gramoxone, Trielina, Andropatch, Alvit55, Androtop, Rotenone, Metamfetamine, Neotsidol, Oxidopamine, Testim, Testosterone, Deoxyephedrine, Androderm, Paraquat, Ovocyclin, Chlorpyrifos, Trilene, Testopel, Neocidol, Atrazine, Trichloroethene, Madrine, Sterotate, Zinc, Estradiol, Diazinon, Methamphetamine, Desoxyn, Imuthiol, Diethyldithiocarbamate, Copper, Vivelle, Dursban, Estrace, Oestradiol, Alvit-55, Testolin, Trichloroethylene, Alvit 55, Desoxyephedrine, Aerodiol, Bazudine, Ozone, Gesamprim, Testoderm, Ditiocarb	hsa-mir-221-3p, hsa-mir-181a-5p, hsa-mir-30c-5p	NA	62	3	11	0.40762917041823	-0.226305597903838
DGUOK	-0.308606	NA	NA	hsa-mir-34a-5p, hsa-mir-297	NA	NA	2	3	-0.649953682738003	-0.373444058190313
DIABLO	-0.3951676	PHENETHYL ISOTHIOCYATE	NA	NA	1	NA	NA	6	0.275873025006713	-0.373451327570838
DNMT1	0.33355	DECITABINE, AZACITIDINE	NA	hsa-mir-429, hsa-mir-185-5p, hsa-mir-29a-3p, hsa-mir-148a-3p, hsa-mir-17-5p, hsa-mir-200a-3p, hsa-mir-342-3p, hsa-mir-140-5p, hsa-mir-152-3p, hsa-mir-19a-3p, hsa-mir-92a-3p, hsa-mir-126-3p, hsa-mir-200b-3p, hsa-mir-18a-5p, hsa-mir-19b-3p, hsa-mir-20a-5p, hsa-mir-30b-5p, hsa-mir-29b-3p, hsa-mir-301b-3p	2	NA	19	1	-1.52676134241275	-0.373451327570838
